Issue_ID,System,Issue_URL,PR_URL,Fix_Pattern
infiniflow_ragflow_2231,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/2231,https://github.com/infiniflow/ragflow/pull/2313,FP4
infiniflow_ragflow_4968,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/4968,https://github.com/infiniflow/ragflow/pull/4970,FP2
infiniflow_ragflow_2720,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/2720,https://github.com/infiniflow/ragflow/pull/2738,FP1
zylon-ai_private-gpt_990,zylon-ai_private-gpt,https://github.com/zylon-ai/private-gpt/issues/990,https://github.com/zylon-ai/private-gpt/pull/999,FP6
infiniflow_ragflow_5382,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/5382,https://github.com/infiniflow/ragflow/pull/5448,FP2
eosphoros-ai_DB-GPT_867,eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/867,https://github.com/eosphoros-ai/DB-GPT/pull/871,FP1
OSU-NLP-Group_HippoRAG_76,OSU-NLP-Group_HippoRAG,https://github.com/OSU-NLP-Group/HippoRAG/issues/76,https://github.com/OSU-NLP-Group/HippoRAG/commit/2f05c2759e51c8959d606138d6df72e259e8f420,FP2
OSU-NLP-Group_HippoRAG_123,OSU-NLP-Group_HippoRAG,https://github.com/OSU-NLP-Group/HippoRAG/issues/123,https://github.com/OSU-NLP-Group/HippoRAG/pull/120,FP3
infiniflow_ragflow_7790,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/7790,https://github.com/infiniflow/ragflow/pull/7806,FP2
eosphoros-ai_DB-GPT_1021,eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1021,https://github.com/eosphoros-ai/DB-GPT/pull/1027,FP1
infiniflow_ragflow_3816,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/3816,https://github.com/infiniflow/ragflow/pull/3818,FP1
HKUDS_LightRAG_1044,HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1044,https://github.com/HKUDS/LightRAG/pull/1045,FP4
eosphoros-ai_DB-GPT_1523,eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/1523,https://github.com/eosphoros-ai/DB-GPT/pull/1531,FP3
eosphoros-ai_DB-GPT_2206,eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2206,https://github.com/eosphoros-ai/DB-GPT/pull/2230,FP2
infiniflow_ragflow_3811,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/3811,https://github.com/infiniflow/infinity/pull/2376,FP5
infiniflow_ragflow_4331,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/4331,https://github.com/infiniflow/ragflow/pull/4330,FP2
infiniflow_ragflow_436,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/436,https://github.com/infiniflow/ragflow/pull/440,FP3
eosphoros-ai_DB-GPT_875,eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/875,https://github.com/eosphoros-ai/DB-GPT/pull/885,FP2
infiniflow_ragflow_7908,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/7908,https://github.com/infiniflow/ragflow/pull/7933,FP2
infiniflow_ragflow_7567,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/7567,https://github.com/infiniflow/ragflow/pull/7575,FP1
zylon-ai_private-gpt_220,zylon-ai_private-gpt,https://github.com/zylon-ai/private-gpt/issues/220,https://github.com/zylon-ai/private-gpt/pull/224,FP2
infiniflow_ragflow_8960,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8960,https://github.com/infiniflow/ragflow/pull/8998,FP4
labring_FastGPT_1253,labring_FastGPT,https://github.com/labring/FastGPT/issues/1253,https://github.com/labring/FastGPT/pull/1291,FP1
arc53_DocsGPT_1313,arc53_DocsGPT,https://github.com/arc53/DocsGPT/issues/1313,https://github.com/arc53/DocsGPT/pull/1314,FP1
HKUDS_LightRAG_1088,HKUDS_LightRAG,https://github.com/HKUDS/LightRAG/issues/1088,https://github.com/HKUDS/LightRAG/pull/1091,FP1
OSU-NLP-Group_HippoRAG_31,OSU-NLP-Group_HippoRAG,https://github.com/OSU-NLP-Group/HippoRAG/issues/31,https://github.com/OSU-NLP-Group/HippoRAG/pull/32,FP2
logancyang_obsidian-copilot_461,logancyang_obsidian-copilot,https://github.com/logancyang/obsidian-copilot/issues/461,https://github.com/logancyang/obsidian-copilot/pull/495,FP2
infiniflow_ragflow_3538,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/3538,https://github.com/infiniflow/ragflow/pull/3546,FP2
infiniflow_ragflow_4141,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/4141,https://github.com/infiniflow/ragflow/pull/4144,FP2
microsoft_graphrag_796,microsoft_graphrag,https://github.com/microsoft/graphrag/issues/796,https://github.com/microsoft/graphrag/pull/1016,FP3
eosphoros-ai_DB-GPT_2694,eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2694,https://github.com/eosphoros-ai/DB-GPT/pull/2695,FP1
microsoft_graphrag_615,microsoft_graphrag,https://github.com/microsoft/graphrag/issues/615,https://github.com/microsoft/graphrag/pull/734,FP2
QuivrHQ_quivr_2782,QuivrHQ_quivr,https://github.com/QuivrHQ/quivr/issues/2782,https://github.com/QuivrHQ/quivr/pull/2795,FP6
infiniflow_ragflow_8719,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/8719,https://github.com/infiniflow/ragflow/pull/8775,FP3
zylon-ai_private-gpt_1040,zylon-ai_private-gpt,https://github.com/zylon-ai/private-gpt/issues/1040,https://github.com/zylon-ai/private-gpt/pull/999,FP2
eosphoros-ai_DB-GPT_2422,eosphoros-ai_DB-GPT,https://github.com/eosphoros-ai/DB-GPT/issues/2422,https://github.com/eosphoros-ai/DB-GPT/pull/2465,FP3
infiniflow_ragflow_6066,infiniflow_ragflow,https://github.com/infiniflow/ragflow/issues/6066,https://github.com/infiniflow/ragflow/pull/6105,FP1
